status_id,status_message,link_name,status_type,status_link,status_published,num_likes,num_comments,num_shares
460639650790741_763712643816772,b'These 3 minutes could change your perspective of Money and Life... Share if you found this insightful :)\nRead the full story here: https://blog.seedly.sg/grab-driver-taught-us-real-personal-finance-lesson/',b'An important life lesson from a Grab Car encounter',video,https://www.facebook.com/seedlysg/videos/763712643816772/,16/10/2017 6:34,6994,1144,18741
460639650790741_618682244986480,"b'Christmas is coming! \xf0\x9f\x8e\x84 Are you up for some Peppermint or Gingerbread Latte? Well, Seedly is treating you just that with 5x $10 Starbucks cards up for grabs! Simply do the following to win one of these cards:\n\n1. Like Seedly\n2. Tag 3 friends with the comment ""Save with Seedly!""\n3. Share this post to double your chance of winning \xf0\x9f\x98\x8f\n\nGiveaway ends on 25 Dec \'16 11:59pm.\n\nDownload Seedly: http://get.seedly.sg/app'",b'Timeline Photos',photo,https://www.facebook.com/seedlysg/photos/a.477863522401687.1073741828.460639650790741/618682244986480/?type=3,5/12/2016 22:59,399,404,331
460639650790741_745314418989928,b'Starhub and M1 launched their new SIM ONLY plans. We updated our comparison of all the SIM-ONLY plans. Go on and save more money on your phone bills!',b'Which Singapore Telco Plan Is Best For You: Data vs Price',link,https://blog.seedly.sg/singapore-telco-plan-comparison-data-price-best-plan/,30/8/2017 5:21,389,85,1626
460639650790741_729015420619828,"b'Most Singaporeans are on a wrong mobile plan costing them hundreds every year. Time to mark down the date on your calendar to switch to a SIM ONLY. We compared between 3GB, 5GB, 10GB, 28GB here!  #comparisons #savings'",b'Which Singapore Telco Plan Is Best For You: Data vs Price',link,https://blog.seedly.sg/singapore-telco-plan-comparison-data-price-best-plan/,21/7/2017 22:26,389,85,1626
460639650790741_657288381125866,"b'<< Made Real X Seedly GIVEAWAY! >>\n\nYour first and your greatest wealth is health. We get that, and we are here to get both your health and wealth back on track. While Seedly has always been about wealth, Made Real is here to make sure that you stay healthy!\n\n2 Lucky Winners Will Receive A Regular Box Of Healthy Snacks Delivered To Their Doorstep.\n\nMade Real is a health food subscription that curates wholesome, delicious snacks for your health goals and nutritional needs. They help you build a wholesome relationship with food where excitement, balance and fulfillment come together. All you have to do is fill in a short quiz in order for them to assess your needs. You may select a weekly, fortnightly, or monthly snack box subscription!\n\nTo win a chance to win a Regular Box:\n1) Like Seedly Facebook Page.\n2) Like Made Real Facebook Page.\n2) Share this post!\n\nThe contest ends 13 March, and 2 lucky winners will be chosen at random and notified after the contest.\n\nDownload Seedly Today: http://get.seedly.sg/Downloadnow'",b'Timeline Photos',photo,https://www.facebook.com/seedlysg/photos/a.477863522401687.1073741828.460639650790741/657288381125866/?type=3,26/2/2017 19:00,378,345,394
460639650790741_648968945291143,"b""<< MOB Cafe X Seedly GIVEAWAY WORTH $60! >>\n\nWe care about your finances this Valentine's Day and we got your back! Call us crazy, but we are giving one lucky winner a FREE sumptuous meal at MOB Cafe.\n\nMOB Cafe is a cosy hangout where good coffee and hearty food meet. Be it celebrating your love during the month of February or a night out with your buddies, MOB Cafe got you covered with their Valentine's Day Special Set Menu and their extensive selection of mains and bar munchies!\n\nTo win a chance to dine at MOB Cafe for free with your loved ones, all you have to do is:\n\n1) Like Seedly and  MOB Cafe's Page.\n2) Share this post!\n\nThe contest ends 13 February, and one lucky winner will be chosen at random and notified after the contest. \nWinners of the contest can enjoy your meal anytime, in the month of February.""",b'Timeline Photos',photo,https://www.facebook.com/seedlysg/photos/a.477863522401687.1073741828.460639650790741/648968945291143/?type=3,6/2/2017 19:00,329,296,348
460639650790741_681476278707076,"b""<< Grouphunt X Seedly GIVEAWAY! >>\nWe are kicking off the week with this GIVEAWAY! \nHave no idea which expenses are thieving from your monthly budget? No worries! \n\n2 Lucky Winners Will Be Walking Away With A Bobby Backpack Worth $119 Each! Bobby Backpack is currently one of the Best Anti-Theft Backpack: https://grouphunt.sg/product/bobby-anti-theft-bag-black \n\nGroupHunt is Singapore's largest Community-Driven Group Buying Platform for Enthusiasts. Join us to discover the latest products curated by our community, and buy them at group prices!\n\nTo win a chance to win the Bobby Backpack:\n1) LIKE Seedly Facebook Page.\n2) LIKE GroupHunt Facebook Page.\n3) SHARE this post\n4) TAG a friend in the comment below.\n\nThe contest ends 15 May 2017, and 2 lucky winners will be chosen at random and notified after the contest.\n\nDownload Seedly Today: http://get.seedly.sg/Downloadnow""",b'Timeline Photos',photo,https://www.facebook.com/seedlysg/photos/a.477863522401687.1073741828.460639650790741/681476278707076/?type=3,16/4/2017 21:00,308,345,339
460639650790741_669235906597780,"b'< The French Cellar X Seedly GIVEAWAY! >\nWe can no longer contain our excitement for this GIVEAWAY! \nPersonal finance is basically all the stuff that you need to do to get from coffee to wine time.\n\n1 Lucky Winner Will Be Receiving a 3-month Vineyard Gems Subscription! It consists of a 3 monthly boxes of 2 bottles of exclusive French wine each, worth $279!\n\nThe French Cellar, the most exclusive French club in town. 2 exclusive bottles of French wines with tasting notes every month at your doorstep. Making French wine accessible, fun and unintimidating.\n\nTo win a chance to win a Regular Box:\n1) LIKE Seedly Facebook Page.\n2) LIKE The French Cellar Asia Facebook Page.\n3) SHARE this post\n4) TAG a friend in the comment below.\n\nThe contest ends 10 April 2017, and 1 lucky winner will be chosen at random and notified after the contest.\n\nDownload Seedly Today: http://get.seedly.sg/Downloadnow'",b'Timeline Photos',photo,https://www.facebook.com/seedlysg/photos/a.477863522401687.1073741828.460639650790741/669235906597780/?type=3,20/3/2017 4:00,288,247,245
460639650790741_783319981856038,"b'For those out there who might be thinking of migrating or working abroad, here are some useful information.'",b'How To Migrate Out Of Singapore - Occupations and Salary',link,https://blog.seedly.sg/how-migrate-out-singapore-occupations-salary/,2/12/2017 22:27,80,16,378
460639650790741_768363330018370,b'An unbiased guide to understanding what you really need. Let us simplify this complicated product and focus on sufficient coverage for the right reasons at the lowest cost! :) #simple #guide #insurance',b'Key Insurance Policies You Should Get in Singapore',link,https://blog.seedly.sg/working-adults-what-are-the-key-insurance-policies-you-should-get-in-singapore/,28/10/2017 1:23,70,5,177
460639650790741_733930503461653,"b'A lot of people believe that insurance is a pain. In reality, it should be focused on sufficient coverage for the right reasons at the lowest cost. Here are the top 5 essential insurance types our community think you should be getting!'",b'Working Adults: What Are The Key Insurance Policies You Should Get in Singapore?',link,https://blog.seedly.sg/working-adults-what-are-the-key-insurance-policies-you-should-get-in-singapore/,2/8/2017 4:01,70,5,177
460639650790741_699930040195033,"b""Hey friends! Let us help each other get better at managing our money. We read an article recently and was thinking if this was really possible\xe2\x80\xa6\nRead more: https://blog.seedly.sg/will-i-ever-earn-100k-by-30-years-old/\n\nWin a $20 Starbucks Voucher on us by simply doing the following:\n1. Leave a reaction to the poll below\n2. Comment on why \xe2\x80\x98Yes or No' together with some advice or budgeting tips\n3. Tag a friend\n\nThe winner will be announced by by 26th May, Friday 2359hrs. Get tagging! We will follow up with some consolidated tips and our own idea on whether this is possible!""",b'Timeline Photos',photo,https://www.facebook.com/seedlysg/photos/a.477863522401687.1073741828.460639650790741/699930040195033/?type=3,22/5/2017 4:00,66,104,52
460639650790741_832029936985042,"b""Planning to go for a trip in 2018? Here's an unbiased guide in the market to give you a comprehensive take on all the travel insurance plans in the market! ;) \n\nBonus: Stand a chance to win 2 x $100 scoot vouchers. :D""",b'Cheat Sheet: Best Travel Insurance Guide in Singapore 2018',link,https://blog.seedly.sg/best-travel-insurance-singapore/,14/3/2018 3:45,62,8,81
460639650790741_808443839343652,"b""Your saving accounts probably suck, here's how you can jump on the right one today. An unbiased comparison with all the new banks in the market. Check out how you can maximize your interest rates! :) #savings #singapore #OCBC360 #UOBONE #DBSMultiplier""",b'Cheat Sheet: Best Savings Accounts For Working Adults 2018?',link,https://blog.seedly.sg/best-savings-accounts-2018/,26/1/2018 21:55,60,14,93
460639650790741_752824451572258,"b""Hey, working adults! Your saving accounts probably suck, here's how you can jump on the right one today. Check out the best combinations to maximise your interest rates! :) #savings #singapore #accounts #BOC #OCBC360 #UOBONE #DBS""",b'Cheat Sheet: Which Are The Best Savings Accounts For Working Adults In 2017?',link,https://blog.seedly.sg/best-savings-accounts-2017/,18/9/2017 4:38,60,14,28
460639650790741_855543794633656,"b'*This article contains NO SPOILER for the Avengers: Infinity War movie*\n\nFiled for bankruptcy, sold off rights of popular characters, took a $525 million loan.\nHow did Marvel turn it around, and what personal finance can we adopt from here?'","b""What Marvel's History and Success Taught Us About Personal Finance""",link,https://blog.seedly.sg/marvel-history-success-personal-finance/,2/5/2018 5:05,58,2,40
460639650790741_858206807700688,"b'We have some important news to share: Seedly is joining the ShopBack family!\n\nOver the past two years, Seedly has grown into a vibrant community of users and readers in Singapore. We\xe2\x80\x99ll be working with ShopBack to evolve Seedly and build our network of users and community. \n\nThank you for joining us on our journey and read on to find out how we intend to create a better personal finance experience to help you make even smarter decisions. #acquisition #growth #team #finance'",b'Seedly + ShopBack',link,https://blog.seedly.sg/seedly-shopback/,7/5/2018 19:55,56,6,2
460639650790741_557066141148091,"b'Always wondered what people mean when they say ""I work in a startup""? Here\'s a quick read on what an early-stage tech startup does everyday from our experience :)'",b'A day in a life at an early-stage tech startup',link,https://medium.com/@Seedly/a-day-in-a-life-at-an-early-stage-tech-startup-3c66f56a5bbd#.c0jdry1g8,26/7/2016 1:28,53,2,5
